"RING","SPEC","SEX","WING","WT"
"L555028","GRETI","F",76,18.7
"L555044","GRETI","F",72,18.9
"L555050","GRETI","F",74,18.8
"L555050","GRETI","F",75,19
"L555052","GRETI","F",75,20.1
"L555052","GRETI","F",75,20.2
"L555056","GRETI","F",73,18.5
"L555056","GRETI","F",72,18.2
"L555066","GRETI","F",76,19.2
"L555101","GRETI","F",74,21.7
"L555150","GRETI","F",72,17.5
"L555206","GRETI","F",72,17.3
"L555208","GRETI","F",73,18.7
"L555217","GRETI","F",75,20
"L555225","GRETI","F",72,18.4
"L555225","GRETI","F",73,18.8
"L555226","GRETI","F",71,17
"L555243","GRETI","F",70,18.7
"L555245","GRETI","F",71,18.7
"L555262","GRETI","F",75,18
"L555276","GRETI","F",76,18.5
"L555277","GRETI","F",75,18.5
"TC80072","GRETI","F",75,18
"L555027","GRETI","M",78,20.4
"L555027","GRETI","M",NA,19.0469387755102
"L555027","GRETI","M",77,20.5
"L555049","GRETI","M",78,20.8
"L555052","GRETI","M",75,20.1
"L555054","GRETI","M",75,19.5
"L555054","GRETI","M",74,20.1
"L555054","GRETI","M",75,19.5
"L555074","GRETI","M",77,18.9
"L555077","GRETI","M",77,19.7
"L555100","GRETI","M",77,18.5
"L555100","GRETI","M",78,19.2
"L555128","GRETI","M",79,20
"L555148","GRETI","M",78,19.4
"L555149","GRETI","M",79,20.8
"L555160","GRETI","M",77,19.4
"L555198","GRETI","M",75,18.5
"L555198","GRETI","M",75,18.6
"L555224","GRETI","M",76,18.5
"L555224","GRETI","M",75,18.9
"L555233","GRETI","M",75,19.0469387755102
"L555235","GRETI","M",77,20.4
"L555246","GRETI","M",75,18.5
"L555246","GRETI","M",76,18.4
"L555256","GRETI","M",74,19.4
"L555260","GRETI","M",77,19.1
"L555265","GRETI","M",75,20.2
"L555274","GRETI","M",77,20.9
"L555280","GRETI","M",79,20.3
"TT67655","GRETI","F",72,17.7
"TT67658","GRETI","F",70,16.8
"TZ13170","GRETI","M",75,19.7
"Z163434","GRETI","F",72,19.5
"Z163435","GRETI","F",75,18
"Z163602","GRETI","F",NA,17.7
"Z163602","GRETI","F",73,17.8
"Z163603","GRETI","F",72,18
"Z163604","GRETI","M",76,19.9
"Z163620","GRETI","M",75,18.8
"Z163625","GRETI","F",72,18
"Z163626","GRETI","M",79,19.6
"Z163627","GRETI","F",75,18.1
"Z163632","GRETI","M",77,18.8
"Z163638","GRETI","M",80,20.7
"Z163639","GRETI","F",77,19
"Z163644","GRETI","M",78,19.2
"Z163644","GRETI","M",78,19.6
"Z163645","GRETI","F",75,19.1
"Z163648","GRETI","F",NA,19.1
"Z163650","GRETI","M",NA,18.7
"Z163651","GRETI","M",NA,19.9
"Z163652","GRETI","F",74,17.8
"Z163652","GRETI","F",75,17.2
"Z163655","GRETI","M",77,19.6
"Z163662","GRETI","M",78,21.4
"Z163663","GRETI","F",73,18.8
"Z163671","GRETI","F",73,18.7
"Z163673","GRETI","M",76,19.7
"Z163676","GRETI","F",76,19.7
"Z163677","GRETI","F",73,17.3
"Z163677","GRETI","F",73,17.5
"Z163682","GRETI","M",77,19.9
"Z163686","GRETI","F",73,18.9
"Z163696","GRETI","M",75,20.8
"Z163697","GRETI","F",73,19
"Z163698","GRETI","M",77,19.3
"Z554502","GRETI","M",78,19.7
"Z554504","GRETI","F",75,19.1
"Z554506","GRETI","F",73,17.2
"Z554509","GRETI","M",78,19.4
"Z554510","GRETI","F",72,18.5
"Z554511","GRETI","F",75,19
"Z554512","GRETI","M",78,19.0469387755102
"Z554516","GRETI","F",75,17.9
